module,trial,timestamp,x,y
faces,36,2557,681.6,764.64
faces,36,2591,683.52,760.32
faces,36,2623,687.36,757.08
faces,36,2657,689.28,756
faces,36,2690,668.16,771.12
faces,36,2724,668.16,776.52
faces,36,2758,666.24,776.52
faces,36,2790,647.04,757.08
faces,36,2824,641.28,750.6
faces,36,2891,652.8,740.88
faces,36,2923,679.68,759.24
faces,36,2957,672,714.96
faces,36,3024,785.28,476.28
faces,36,3057,789.12,461.16
faces,36,3090,791.04,450.36
faces,36,3124,787.2,434.16
faces,36,3157,831.36,437.4
faces,36,3191,1080.96,662.04
faces,36,3224,1094.4,680.4
faces,36,3258,1098.24,685.8
faces,36,3324,1159.68,734.4
faces,36,3358,1069.44,702
faces,36,3391,1034.88,686.88
faces,36,3424,1021.44,684.72
faces,36,3458,1056,696.6
faces,36,3491,1067.52,700.92
faces,36,3524,1075.2,704.16
faces,36,3558,1080.96,705.24
faces,36,3591,1084.8,705.24
faces,36,3624,1082.88,703.08
faces,36,3691,1065.6,703.08
faces,36,3725,1056,680.4
faces,36,3758,1038.72,641.52
faces,36,3824,952.32,442.8
faces,36,3858,1013.76,475.2
faces,36,3892,1021.44,434.16
faces,36,3925,1023.36,427.68
faces,36,3992,1048.32,447.12
faces,36,4026,1004.16,433.08
faces,36,4092,983.04,447.12
faces,36,4125,977.28,421.2
faces,36,4158,979.2,378
faces,36,4191,967.68,346.68
faces,36,4225,925.44,247.32
faces,36,4258,908.16,209.52
faces,36,4292,898.56,206.28
faces,36,4359,808.32,241.92
faces,36,4393,796.8,234.36
faces,36,4426,804.48,240.84
faces,36,4458,802.56,240.84
faces,36,4492,796.8,237.6
faces,36,4525,794.88,234.36
faces,36,4559,794.88,233.28
faces,36,4592,787.2,233.28
faces,36,4625,777.6,236.52
faces,37,0,662.4,248.4
faces,37,0,648.96,249.48
faces,37,25,641.28,249.48
faces,37,58,664.32,261.36
faces,37,92,666.24,260.28
faces,37,158,677.76,252.72
faces,37,191,693.12,262.44
faces,37,225,712.32,265.68
faces,37,258,729.6,265.68
faces,37,291,756.48,260.28
